side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
UP,STRONG_BODY,LOW_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,182,INSUFFICIENT_SAMPLE,0.5824175824175825,1.4833888272967852,0.8565367865789085,0.32263815898578496,0.05843611282768539
UP,SMALL_BODY,EXPANSION_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,175,INSUFFICIENT_SAMPLE,0.5371428571428571,1.5260265102674098,1.2799654099172804,0.25525216092623126,0.2533711852374031
UP,SMALL_BODY,EXPANSION_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,173,INSUFFICIENT_SAMPLE,0.5606936416184971,1.284807029675744,1.1601110779271377,0.0841582911712679,0.1819870009289387
DOWN,STRONG_BODY,LOW_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,167,INSUFFICIENT_SAMPLE,0.6287425149700598,1.4154114218816942,0.8906963030036228,0.36488734294941183,0.4274291252726835
DOWN,MEDIUM_BODY,LOW_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,165,INSUFFICIENT_SAMPLE,0.5212121212121212,1.2675143855348692,1.0897551844682831,0.09214954863925286,0.041198501872538436
DOWN,STRONG_BODY,LOW_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,165,INSUFFICIENT_SAMPLE,0.5272727272727272,1.528230641215082,0.8830131460370837,0.26687580867458227,0.20267602544413102
DOWN,SMALL_BODY,EXPANSION_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,164,INSUFFICIENT_SAMPLE,0.5548780487804879,1.6186864078604488,1.3793419054400557,0.07300784664514628,-0.14038556238128164
UP,MEDIUM_BODY,LOW_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,159,INSUFFICIENT_SAMPLE,0.5471698113207547,1.4147465915720352,0.9222438606615782,0.23428226752653464,-0.033596160438668275
DOWN,MEDIUM_BODY,LOW_RANGE,LOW_VOLUME,FULL_ALIGNMENT,5,158,INSUFFICIENT_SAMPLE,0.6012658227848101,1.5026514896934011,0.8694555369519683,0.27534008248952235,0.21302755573057763
UP,MEDIUM_BODY,LOW_RANGE,LOW_VOLUME,NO_ALIGNMENT,5,148,INSUFFICIENT_SAMPLE,0.5405405405405406,1.2163939320384782,1.0840728861371673,0.03853618910514109,0.13278770753923724
DOWN,SMALL_BODY,EXPANSION_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,136,INSUFFICIENT_SAMPLE,0.5,1.364054036567824,1.311479853568256,-0.1785426695549907,-0.11273960143157592
UP,STRONG_BODY,EXPANSION_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,133,INSUFFICIENT_SAMPLE,0.48872180451127817,1.5911641883604994,1.1427380406124759,0.37526411121214204,0.1633752244166494
UP,STRONG_BODY,EXPANSION_RANGE,HIGH_VOLUME,FULL_ALIGNMENT,5,128,INSUFFICIENT_SAMPLE,0.5703125,1.9423321067044328,1.1861112408776717,0.5334224899970169,0.3390197100301905
