side,entry,stop,target,exit_price,pnl_points,pnl_r,mfe_points,mae_points,exit_reason,exit_time,signal_time,entry_time,fast,mid,slow,stop_atr,target_atr,max_hold_minutes,m15_mode,m5_mode,max_entry_candle_atr,max_distance_slow_atr
BUY,4187.79,4181.2841,4191.85619,4191.85619,4.06619,0.625,4.99,0.85,TARGET,2026-07-05 22:16:00,2026-07-05 22:13:00,2026-07-05 22:14:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4187.16,4181.44928,4190.7292,4190.7292,3.5692,0.625,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4188.14,4182.42919,4191.70926,4191.70926,3.56926,0.625,6.24,2.27,TARGET,2026-07-05 22:32:00,2026-07-05 22:27:00,2026-07-05 22:28:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4146.33,4144.16898,4147.68064,4144.16898,-2.16102,-1.0,1.33,2.93,STOP,2026-07-07 14:50:00,2026-07-07 14:40:00,2026-07-07 14:41:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4108.98,4104.75303,4111.62185,4111.62185,2.64185,0.625,3.24,0.87,TARGET,2026-07-07 23:06:00,2026-07-07 23:05:00,2026-07-07 23:06:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4126.21,4123.71647,4127.76846,4127.76846,1.55846,0.625,1.73,1.52,TARGET,2026-07-08 02:04:00,2026-07-08 01:56:00,2026-07-08 01:57:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4127.19,4123.75531,4129.33668,4129.33668,2.14668,0.625,2.97,0.59,TARGET,2026-07-08 02:38:00,2026-07-08 02:36:00,2026-07-08 02:37:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4128.26,4124.88093,4130.37192,4130.37192,2.11192,0.625,2.82,1.7,TARGET,2026-07-08 02:42:00,2026-07-08 02:37:00,2026-07-08 02:38:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4128.02,4124.99931,4129.90793,4124.99931,-3.02069,-1.0,1.17,3.48,STOP,2026-07-08 03:02:00,2026-07-08 02:56:00,2026-07-08 02:57:00,3,29,98,1.6,1.0,10,warning_only,closed_all,1.2,1.2
BUY,4187.16,4182.52004,4190.7292,4190.7292,3.5692,0.76923,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,3,30,93,1.3,1.0,20,warning_only,closed_all,1.2,0.8
