timeframe,pattern_type,breakout_side,h1_color,h4_color,htf_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_return_atr,avg_mfe_atr,avg_mae_atr,avg_nearest_htf_obstacle_atr
H1,TRIANGLE_SYMMETRIC,UP,RED,RED,PARTIAL_OR_NONE,60,8,INSUFFICIENT_SAMPLE,0.125,-0.07062528555450451,0.2788140232221367,0.48427579795219033,0.22651772324810124
H1,TRIANGLE_SYMMETRIC,UP,RED,RED,PARTIAL_OR_NONE,180,8,INSUFFICIENT_SAMPLE,0.5,0.2800606639529275,0.6866702003539048,0.6737928014694843,0.22651772324810124
M15,RANGE_BOX,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,1.0,-0.021838583595976672,0.6464220744405255,0.17470866876768096,4.817591541269554
M15,RANGE_BOX,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-1.2229606813739653,0.6464220744405255,1.4719205343679538,4.817591541269554
M15,RANGE_BOX,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,1.0,1.8402646443531665,3.1025347761998634,1.5447158130211651,4.817591541269554
M15,RANGE_BOX,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,1.0,-0.573626795787314,3.1025347761998634,1.5447158130211651,4.817591541269554
M15,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,15,2,INSUFFICIENT_SAMPLE,0.0,-0.8860869934653747,0.03366845389657529,1.1625423592915212,2.331108304742247
M15,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,30,2,INSUFFICIENT_SAMPLE,0.0,-0.8657726856124016,0.25581497128100494,1.5245203805658134,2.331108304742247
M15,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,60,2,INSUFFICIENT_SAMPLE,0.5,-0.46690953710262295,0.8087977184182032,1.9628072820006999,2.331108304742247
M15,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,180,2,INSUFFICIENT_SAMPLE,0.5,0.31831429580569887,1.2147473019089947,1.9628072820006999,2.331108304742247
M15,RANGE_BOX,DOWN,RED,RED,FULL,15,2,INSUFFICIENT_SAMPLE,1.0,0.7051606230906393,0.9740662697130256,0.15480983421965624,1.4894913265907084
M15,RANGE_BOX,DOWN,RED,RED,FULL,30,2,INSUFFICIENT_SAMPLE,1.0,0.79981334230117,1.2686787948815885,0.15480983421965624,1.4894913265907084
M15,RANGE_BOX,DOWN,RED,RED,FULL,60,2,INSUFFICIENT_SAMPLE,1.0,1.9323515124209503,2.277122885820746,0.15480983421965624,1.4894913265907084
